date,open,high,low,close,volume
1/10/2011,11672,11794,11574,11787,815170000
1/17/2011,11784,11905,11745,11872,799920000
1/24/2011,11873,12021,11803,11824,926210000
1/31/2011,11824,12092,11818,12092,796400000
2/7/2011,12092,12286,12092,12273,881250000
2/14/2011,12267,12391,12193,12391,796100000
2/21/2011,12390,12390,11983,12130,753750000
2/28/2011,12130,12283,12019,12170,854610000
3/7/2011,12171,12258,11936,12044,787500000
3/14/2011,12042,12042,11555,11859,1176310000
3/21/2011,11860,12260,11860,12221,654390000
3/28/2011,12221,12420,12174,12377,726180000
4/4/2011,12375,12451,12321,12380,720760000
4/11/2011,12380,12444,12164,12342,741540000
4/18/2011,12340,12506,12094,12506,710620000
4/25/2011,12506,12833,12446,12811,1000570000
5/2/2011,12810,12876,12521,12639,881460000
5/9/2011,12638,12781,12537,12596,877070000
5/16/2011,12595,12643,12379,12512,893710000
5/23/2011,12511,12511,12310,12442,717490000
5/30/2011,12443,12574,12104,12151,705420000
6/6/2011,12151,12183,11937,11952,814090000
6/13/2011,11945,12121,11863,12004,1027000000
6/20/2011,12004,12217,11875,11935,886570000
6/27/2011,11935,12099,11934,12944,177920000
